Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
Instrument Reference date,9B67D331-F905-6920-8252-81F14774B415,2032,,A2E89941-923C-5ECC-0300-D9EA03F91C87,963,Y,Domain,,,,,2BB0BC4F-2625-4B6E-BFB9-85C466713314,15,LOGDT007,453,,,,,,,,,Y,All possible dates,Date,,,,,INSTRMNT_RFRNC_DT,4EC43994-59BB-0C1B-D7FB-0602AB5657A8,3760,Over the counter (OTC) Derivative instrument Synthetic securitisation assignment,P,F,Over the counter (OTC) Derivative instrument comprises Tranche in a synthetic securitisation without securitisation special purpose entity (SSPE) being a financial guarantee via Over the counter (OTC) Derivative instrument Synthetic securitisation assignment,5,,,,
Instrument Reporting agent identifier,873D6E18-AFAC-492C-C714-A3AB5B2FDD9A,2033,,5F922971-19B4-F2FA-B9EB-ADA753EAE6A3,648,Y,Domain,,,,,12DFCE00-085A-4E8C-BE55-52350D849DA7,383,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore",String,,,,,RPRTNG_AGNT_ID,08A2CC28-1745-C3C5-7B8F-640ED88DD521,3508,Equity instrument that is not a security Investor assignment,P,F,Equity instrument that is not a security Investor assignment has Investor(s),2,60,,,
Instrument Reporting agent identifier,E9189F67-D291-C37E-CB90-5A22AFDB9D9D,2034,,EEC1B302-494D-4D13-FBC8-ED4D4CF46395,751,Y,Domain,,,,,12DFCE00-085A-4E8C-BE55-52350D849DA7,383,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore",String,,,,,RPRTNG_AGNT_ID,0FCF1340-C668-8EDA-7B1D-AE600B57ACF1,3605,Instrument Servicer assignment,P,F,Instrument is serviced by Servicer via Instrument Servicer assignment,2,60,,,
Instrument Reporting agent identifier,BB6D9386-34F3-FCB8-F6D0-4BB43D4EAAA8,2035,,54907B80-5ADD-5298-6AE7-54D1AC9CA6F6,742,Y,Domain,,,,,12DFCE00-085A-4E8C-BE55-52350D849DA7,383,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore",String,,,,,INSTRMNT_RPRTNG_AGNT_ID,E88B312D-021C-EF57-F5C1-553E0A07B68B,3687,Instrument,P,F,Model Context specifies Instrument,2,60,,,
Instrument Reporting agent identifier,4B184FD2-B2B3-ACD2-5096-0F32E302849A,2036,,E681DB13-7A71-E87E-35B0-7DFAA0510D17,649,Y,Domain,,,,,12DFCE00-085A-4E8C-BE55-52350D849DA7,383,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore",String,,,,,RPRTNG_AGNT_ID,0B68DCC9-6C8E-DA93-9ECA-FE8A964623FA,3510,Equity instrument that is not a security Issuer assignment,P,F,Equity instrument that is not a security Issuer assignment has Issuer,2,60,,,
Instrument Reporting agent identifier,CB7734D4-5ECD-011C-BF59-61AAD44D205B,2037,,226B02E3-A364-4829-CFBA-1E41AF016F8E,750,Y,Domain,,,,,12DFCE00-085A-4E8C-BE55-52350D849DA7,383,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore",String,,,,,RPRTNG_AGNT_ID,85A01FF8-B54A-30D8-5D82-5186809741F3,3600,Instrument role,P,F,Instrument acts in Instrument role(s),3,60,,,
Instrument Reporting agent identifier,D9F5081C-F3DD-195A-230F-1891A20E333F,2038,,440398C3-B369-BCF2-7C8B-0A6ED64AF366,747,Y,Domain,,,,,12DFCE00-085A-4E8C-BE55-52350D849DA7,383,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore",String,,,,,RPRTNG_AGNT_ID,40254AA0-2E36-DCD5-F031-4473656CCBFF,3604,Instrument Protection arrangement assignment,P,F,Instrument is protected by Protection arrangement(s) via Instrument Protection arrangement assignment,6,60,,,
Instrument Reporting agent identifier,E98D5CF3-122A-E5F8-6120-FDC104E98972,2039,,970C6EF9-779C-3173-9EDB-6226A668218D,934,Y,Domain,,,,,12DFCE00-085A-4E8C-BE55-52350D849DA7,383,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore",String,,,,,INSTRMNT_RPRTNG_AGNT_ID,E130D57F-8618-A988-4996-D38EF214496E,3603,Other Instrument Collateral received instrument assignment,P,F,Instrument is protected by Collateral received instrument(s) via Other Instrument Collateral received instrument assignment,3,60,,,
Instrument Reporting agent identifier,D89BBA78-C15D-0378-1BF1-D2525CF04D07,2040,,048D458D-00B0-1F3C-D9A5-87EAE9C831CA,1040,Y,Domain,,,,,12DFCE00-085A-4E8C-BE55-52350D849DA7,383,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore",String,,,,,INSTRMNT_RPRTNG_AGNT_ID,1B86742D-6BA5-97B6-D891-3224F9FF53E1,3813,Renegotiated financial asset instrument with forbearance measure derived data,P,F,Renegotiated financial asset instrument with forbearance measure has Renegotiated financial asset instrument with forbearance measure derived data,4,60,,,
Instrument Reporting agent identifier,9283676D-2ECD-200D-CCE4-EB8D72B351C9,2041,,53C569B3-159D-54EB-E597-D42F8718538C,714,Y,Domain,,,,,12DFCE00-085A-4E8C-BE55-52350D849DA7,383,A3A3C77D-0366-9768-FF89-1C25E56881C8,506,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore",String,,,,,INSTRMNT_RPRTNG_AGNT_ID,850EF420-23A9-19F5-F6C0-43EBC06B8A50,3763,Fundamental review of the trading book standard approach risk measure for OTC positions,P,F,Over the counter (OTC) Derivative instrument specifies Fundamental review of the trading book standard approach risk measure for OTC positions,3,60,,,
