Logical_Model_ID,Num_Logical_Model_ID,Logical_Model_Name,Logical_Object_ID,Num_Logical_Object_ID,Logical_Object_Name,Relational_Model_ID,Num_Relational_Model_ID,Relational_Model_Name,Relational_Object_ID,Num_Relational_Object_ID,Relational_Object_Name,Entity_Name,Table_Name,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7B1DD558-EA42-AA43-2A3D-05F7670BF386,2961,Software collateral reporting agent identifier,4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,0CB2B9C7-6EEE-A8C5-0597-05E80983D44E,0,Reporting_agent_identifier,"Software collateral Software property, plant and equipment taken into possession assignment",Collateral_Non-financial_asset_assignment,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7B3D0A9C-AB52-821F-DF75-85BB031A2A5A,817,Long security position,4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,D30638E2-E4FA-C3D1-7039-700349CCB9F5,0,Security_position,Long security position,Security_position,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7B6A00F4-FE2E-4800-0AAA-1A96382FA9CA,2423,Organisation Party identifier,4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,56F281FC-2425-D37E-4F87-15F430B8ADDD,0,Party_identifier,Organisation role,Entity_role,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7BCE4A6F-D151-FC10-2D33-E84D86D5038E,2163,Legal form,4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,CA2D9B6F-AF8E-F4B4-BD3C-C502F3F2FD7F,0,Legal_form,Central bank and private sector company,Party,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7BD7BDC1-6E17-F704-3325-BF3946BA55B4,1490,Credit card debt Instrument Reporting agent identifier,4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,2F169400-FBB7-1177-EBF9-1F400723E503,0,Reporting_agent_identifier,Credit card debt Debtor assignment,Instrument_Entity_role_assignment,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7C07C1C1-BDE1-FF2F-E3B1-2F378716402B,1097,Servicer,4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,B8EC03EA-F815-3226-F555-5631EDB9F544,0,Entity_role,Servicer,Entity_role,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7C2E3479-5086-5E40-8586-D0DF3F35F682,1357,Carrying amount,4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,1864072B-E2A9-46E6-7D17-405CD7919FD7,0,Carrying_amount,Non-financial asset and non-financial liability,Non-financial_liability,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7C2E3479-5086-5E40-8586-D0DF3F35F682,1357,Carrying amount,4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,E204C8E0-3563-3C41-EDF6-98C0EC87B550,0,Carrying_amount,Non-financial asset and non-financial liability,Non-financial_asset,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7C38BEFF-E27A-EAE2-C5FB-644FBF7C89F6,1108,Short trading book security position national general accepted accounting principles (nGAAP),4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,4FE02AE8-36A5-8CA0-D01B-B12E02BE2541,0,Short_security_position_prudential_portfolio_assignment,Short trading book security position national general accepted accounting principles (nGAAP),Short_security_position_prudential_portfolio_assignment,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7C3D602E-F296-C533-9BD0-6209D2C8FA9D,1682,Employee benefit type,4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,8BC09568-38E8-A5A3-EB1D-7BE5E19030B0,0,Type_of_Non-financial_liability,Employee benefit,Non-financial_liability,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7C436940-F94B-9376-D09E-B8A26FCEE480,2928,Share capital repayable on demand Reporting agent identifier,4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,6666C9D0-66B5-32D3-B882-9EB8BC0BF4EC,0,Reporting_agent_identifier,Share capital repayable on demand,Non-financial_liability,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7C512D8A-5E88-A48C-8CE6-AE0E3C6D79C4,2677,Rating agency name,4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,8F60D04B-D3BB-594B-DCA6-BE8B806D98FC,0,Rating_agency_name,Rating grade Other organisation assignment,Rating_grade_Other_organisation_assignment,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7C874101-A59E-71B3-A4E3-7269A22FE9D6,1353,Buyer Party role type,4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,0B7146F6-9D5B-945E-89A9-A7F1747D9CC2,0,Buyer_Party_role_type,Exchange tradable derivative position role,Exchange_tradable_derivative_position_role,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7CC5383F-ECB4-EAC3-61A5-48AB9537DB04,1282,Asset pool Reference date,4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,B242C653-FF34-406A-F371-46FE0E5AE6B1,0,Reference_date,Asset pool Loan (excluding repurchase agreement) assignment,Asset_pool_Loan_(excluding_repurchase_agreement)_assignment,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7CF1A73F-A8DD-3582-9672-DB908CB20CD3,637,Employee benefit,4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,C33915A1-317D-32AE-2691-C03245E2B4D3,0,Non-financial_liability,Employee benefit,Non-financial_liability,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7D054294-945A-68F1-39F7-D11CD19B85F5,3330,Risk factor for standardised approach PKv4,4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,00C5B031-D762-13D2-EC19-715B342F98E7,0,Risk_factor_for_standardised_approach_PK,Risk factor for standardised approach,Risk_factor_for_standardised_approach,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7D2A5B5D-2316-C442-9F7E-CDCB184816C7,1588,Date of performing status,4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,6DB23C59-A1B6-419B-8561-50598C06C687,0,Date_of_performing_status,Debt security,Security_and_exchange_tradable_derivative,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7D532A41-DC32-6C21-5635-A404143F639A,2533,Party Reference date,4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,6C645AC6-FABA-5148-D0B0-498201E8A1BD,0,Reference_date,Protection Protection provider assignment,Protection_Protection_provider_assignment,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7D56B807-DE64-C058-C6AB-CE1877C1A599,1777,Fair value,4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,62D5878B-18BD-682A-5F73-55F113B8F6E8,0,Fair_value,Credit facility,Credit_facility,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7D808783-CCD3-EDAD-B7DB-6994FAB738BE,3452,Credit facility gives rise to Instrument resulting from a Credit facility,4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,A1DD31D3-5338-1747-59B0-EC9AB29E0DB1,0,Instrument_Credit_facility_FK,,,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7D8127E3-5F01-07EB-3109-64105A75F453,2758,Risk factor for standardised approach Reporting agent identifier,4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,09E40C70-2CC5-21FA-5999-4B1BA8FCBA4D,0,Reporting_agent_identifier,Fundamental review of the trading book standard approach risk measure,Fundamental_review_of_the_trading_book_standard_approach_risk_measure_for_ETD_positions,
DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,Logical,7D8127E3-5F01-07EB-3109-64105A75F453,2758,Risk factor for standardised approach Reporting agent identifier,4C82EC0E-87DF-70E2-243C-682AA3E09370,0,Input Layer with Full Names 6.4,465DE92F-13C3-BE39-EA20-2CBED85DFB31,0,Reporting_agent_identifier,Fundamental review of the trading book standard approach risk measure,Fundamental_review_of_the_trading_book_standard_approach_risk_measure_for_security_positions,
