VARIABLE_SET_ID,VARIABLE_ID,VALID_FROM,VALID_TO,SUBDOMAIN_ID,IS_FLOW,ORDER
17077482325396553192_REF,AMNT_DRCGNSD_CPTL_PRPS,2013-12-01,9999-12-31,MNTRY,false,0
17186128226079046680_REF,TRSRY_SHR_SL_CNCLLTN,2013-12-01,9999-12-31,MNTRY,false,0
17220670634258440943_REF,CPTL_RDCTN,2013-12-01,9999-12-31,MNTRY,false,0
17626844296030320267_REF,AVRG_DRTN_LTGTN_DRNG_PRD,2019-09-30,9999-12-31,RL,false,0
17738000420872972734_REF,INSTRMNT_NMBR,2019-09-30,9999-12-31,INTGR,false,0
1777643580690892578_REF,VL_ADJSTMNT_RCRDD_INCM_STTMNT,2013-12-01,9999-12-31,MNTRY,false,0
17911574528201435670_REF,OTHR_ALLWNC_ADJSTMNT,2018-03-30,9999-12-31,MNTRY,false,0
18078116867075660175_REF,OTHR_RCLSSFCTN_CSH_FLW_HDG,2013-12-01,9999-12-31,MNTRY,false,0
18200570361412812649_REF,ACCMLTD_CHNGS_FV_CR,2013-12-01,9999-12-31,MNTRY,false,0
18275956648139188358_REF,TYP_ACCNTNG_CNSLDTN,2015-06-30,9999-12-31,CNSLDTN_MTHD_132500_REF_TYP_ACCNTNG_CNSLDTN,false,0
1874545491917404562_REF,ACCMLTD_NGTV_VL_ADJSTMNT_CR,2018-03-30,9999-12-31,MNTRY,false,0
1914567176785075883_REF,STFF_NMBR,2019-09-30,9999-12-31,INTGR,false,0
2035851618792055694_REF,ACTRL_GN_LSS_CHG_DMGRPHC,2013-12-01,9999-12-31,MNTRY,false,0
2075401706210063639_REF,CRRYNG_AMNT_CLLTRL_OBTND,2014-09-30,9999-12-31,MNTRY,false,0
2296479326008667036_REF,CLLTRL_MXMM_AMNT_GRNT_CNSDRD,2013-12-01,9999-12-31,MNTRY,false,0
2508521452773937215_REF,ASST_INVLVD_INSTTN_SRVC_PRVDD,2013-12-01,9999-12-31,MNTRY,false,0
2586680230449591099_REF,EFFCT_ACCNTNG_PLCY_CHNG,2013-12-01,9999-12-31,MNTRY,false,0
2970692285882776276_REF,INCRS_ DSCNTD_AMNT_DSCNT_RT,2013-12-01,9999-12-31,MNTRY,false,0
2990176717101267012_REF,CHNG_ALLWNC_MDFCTN_WTHT_DRCGNT,2018-03-30,9999-12-31,MNTRY,false,0
3022830411552321978_REF,FV_INSTRMNT_RPLC_SLD_CLLTRL,2019-09-30,9999-12-31,MNTRY,false,0
3120023406042092780_REF,OTHR_DFND_BNFT_OBLGTN_CHNG,2013-12-01,9999-12-31,MNTRY,false,0
3306936036550784077_REF,DVDND_AMNT,2013-12-01,9999-12-31,MNTRY,false,0
3513660512628058048_REF,ACCMLTD_PRTL_WRTFFS,2018-03-30,9999-12-31,MNTRY,false,0
3580546362157940484_REF,GRSS_CRRYNG_AMNT,2019-09-30,9999-12-31,MNTRY,false,0
3643522002986617066_REF,ADDTNS_INCLDNG_EXSTNG_PRVSNS,2013-12-01,9999-12-31,MNTRY,false,0
4034868948470850090_REF,GRSS_CRRYNG_AMNT_CLLTRL_OBTND,2019-09-30,9999-12-31,MNTRY,false,0
4036245234541037893_REF,CHNG_ALLWNC_CHNG_CR,2018-03-30,9999-12-31,MNTRY,false,0
4117253993722026055_REF,CLLTRL_OBTND_TKNG_PSSSSN_NMBR,2019-09-30,9999-12-31,INTGR,false,0
4155188227603224196_REF,DCRS_IA_ANCFV_CR,2019-09-30,9999-12-31,MNTRY,false,0
4238432481266399990_REF,HLDNG_ENTTY_NM,2013-12-01,9999-12-31,STRNG,false,0
4433237475396205970_REF,INCRS_IA_ANCFV_CR,2019-09-30,9999-12-31,MNTRY,false,0
4934147852933068593_REF,INCRS_ALLWNC_ESTMTD_LSS,2013-12-01,9999-12-31,MNTRY,false,0
5018436799317893249_REF,NM_ENTTY,2021-06-30,9999-12-31,STRNG,false,0
5124173598708528704_REF,DCRS_ALLWNC_WRT_OFF,2018-03-30,9999-12-31,MNTRY,false,0
5201938199921205623_REF,TRNSFR_BTWN_ALLWNC,2013-12-01,9999-12-31,MNTRY,false,0
5514973550143905855_REF,DCRS_IA_ANCFV_CR_ACCRD_UNWNDNG,2019-09-30,9999-12-31,MNTRY,false,0
5683672298719308419_REF,PRSNT_VL,2013-12-01,9999-12-31,MNTRY,false,0
6056665978884242883_REF,GRP_STRCTR_RLTNSHP,2013-12-01,9999-12-31,RLTNSHP_55298_REF_GRP_STRCTR_RLTNSHP,false,0
637091515190721272_REF,NMNL_AMNT,2013-12-01,9999-12-31,MNTRY,false,0
6631604508003842444_REF,UNSD_AMNT_RVRSD_DRNG_PRD,2013-12-01,9999-12-31,MNTRY,false,0
6691857468719214238_REF,GCA_EXPSR_DRCGNSD_LTGTN,2019-09-30,9999-12-31,MNTRY,false,0
6749189447780161481_REF,WRTFFS_DRNG_PRD_DBT_FRGVNSS,2019-09-30,9999-12-31,MNTRY,false,0
6750364677940919480_REF,RCLSSFCTN_INSTRMNT_LBLTY_EQTY,2013-12-01,9999-12-31,MNTRY,false,0
7063043392329280990_REF,ACCMLTD_IMPRMN_NGTV_CHNG_FV_CR,2018-03-30,9999-12-31,MNTRY,false,0
707240439644672668_REF,ADJSTMNT_CRRYNG_AMNT,2018-03-30,9999-12-31,MNTRY,false,0
