Relation_Name,ModelID,Num_ModelID,ObjectID,NumOID,ImportID,Source_Entity_Name,Target_Entity_Name,Source_Label,Target_Label,SourceTo_Target_Cardinality,TargetTo_Source_Cardinality,Source_Optional,Target_Optional,Dominant_Role,Identifying,Source_ID,Num_Source_ID,Target_ID,Num_Target_ID,Number_Of_Attributes
Collateral protects Credit facility via Credit facility Collateral assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,36A77B2A-25CA-B675-C958-2A3FDFD3E97E,3436,,Collateral,Credit facility Collateral assignment,,,*,1,Y,N,None,Y,4793B60D-47B8-57C4-12B5-6BD21499308A,561,5E02F623-CC8D-9A20-AB10-A47E24CCF5C2,584,3
Collateral protects Loan(s) (excluding repurchase agreement) and advance via Loan (excluding repurchase agreement) and advance Collateral assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,9B11BDDF-9ADC-A93D-AAC1-CAAE8383C46A,3437,,Collateral,Loan (excluding repurchase agreement) and advance Collateral assignment,,,*,1,Y,N,None,Y,4793B60D-47B8-57C4-12B5-6BD21499308A,561,ACDEC181-3399-411D-BD18-E28CCC37B7BC,793,3
Collateral protects Long non-negotiable security positition via Long non-negotiable security position Collateral assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,9C1BFCE7-0E80-C60C-12B9-37D8136B8126,3438,,Collateral,Long non-negotiable security position Collateral assignment,,,*,1,Y,N,None,Y,4793B60D-47B8-57C4-12B5-6BD21499308A,561,A19587F2-EE13-306A-0074-0A19396D79CA,815,3
Collateral received instrument obtained by taking possession has Collateral received instrument obtained by taking possession derived data,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,26E66791-5156-16DA-7CBE-D16079601D51,3439,,Collateral received instrument obtained by taking possession,Collateral received instrument obtained by taking possession derived data,,,1,1,Y,N,Collateral received instrument obtained by taking possession,Y,36DA9513-C66D-3F21-18D2-4E13D4F72A9E,568,7948F8F0-FB50-4C0D-2B08-191CFA43BB8A,569,4
Collateral received instrument protects Credit facility Collateral received instrument assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,6F444CE9-26D6-55DC-41C4-B7DDF841A378,3440,,Collateral received instrument,Credit facility Collateral received instrument assignment,,,*,1,Y,N,None,Y,E50F91BD-9CAA-1F59-DEF3-6907A545578F,567,3D3DF7D3-3E55-EC90-1D66-B8ACC991B4AD,585,4
Collateral received instrument protects Financial asset instrument(s) via Other Instrument Collateral received instrument assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,1E4380F7-6CCB-B837-CB98-E42E3EC6449D,3441,,Collateral received instrument,Other Instrument Collateral received instrument assignment,,,*,1,Y,N,None,Y,E50F91BD-9CAA-1F59-DEF3-6907A545578F,567,970C6EF9-779C-3173-9EDB-6226A668218D,934,4
Commercial real estate loan indicator classifies Loan (excluding repurchase agreement) derived data,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,126632A7-0AD8-3D3F-AC83-863B6A1D20A5,3442,,Commercial real estate loan indicator,Loan (excluding repurchase agreement) derived data,,,*,1,Y,N,None,N,8EEFC725-A75F-1642-2754-1784DB13B8F4,572,FAD7D90B-080B-90E8-CC31-C4C1885818FB,796,1
Controlled by national or foreign bodies specifies Central bank and private sector company,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,23939A72-CDA7-2DB2-8CA3-E5F05DCEFB57,3443,,Controlled by national or foreign bodies,Central bank and private sector company,,,*,1,Y,N,None,N,3AFE0B22-DBD9-E041-B693-C01E7E96F6CB,575,85956057-D0C7-8869-F90B-A6A301A3A30F,554,1
Country is governed by Central government,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,E18220F9-E649-0E8C-A32C-DAEB7FEDCFCD,3444,,Country,Central government,,,1,1,N,N,Country,N,38013587-3E0F-07E3-FABD-AEF3C2ADF02B,576,E26DBBE7-6D04-816C-4350-56FC59587FE0,558,1
Country is location of Debt security with underlying assets,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,660C6944-BAC1-0133-A49C-4C960C630C70,3445,,Country,Debt security with underlying assets,,,*,1,Y,N,None,N,38013587-3E0F-07E3-FABD-AEF3C2ADF02B,576,E0F148A0-9C9D-A606-1568-84FF4AB58583,617,1
Country is rated by Rating grade for issuer based rating system(s) for central government via Rating grade Country assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,1A859F80-BF1E-8A17-D425-0D1B1506A640,3446,,Country,Rating grade Country assignment,,,*,1,Y,N,None,Y,38013587-3E0F-07E3-FABD-AEF3C2ADF02B,576,E7A44111-ABF5-F2D2-9A53-2B7DA7469520,1019,1
Covered bond acts as a Covered bond issuance,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,BD8AD293-13AB-2336-1FE1-E897DFE98428,3447,,Covered bond,Covered bond issuance,,,1,1,Y,N,Covered bond,Y,ED6F6EB1-9932-F244-ACC1-C7D1E07E0540,577,3AF3CD09-7540-3718-B623-38E579D1423A,578,3
Covered bond programme comprises Covered bond issuance(s),DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,B9E5228E-2115-2B18-7BA9-70B34E8157CC,3448,,Covered bond programme,Covered bond issuance,,,*,1,N,N,None,Y,459D3125-2F68-477E-EAC2-635498AA4DB0,579,3AF3CD09-7540-3718-B623-38E579D1423A,578,3
Credit card debt has Credit card debt Creditor assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,8E430AE7-905B-3DA7-0674-8C966CB729F3,3449,,Credit card debt,Credit card debt Creditor assignment,,,1,1,Y,N,Credit card debt,Y,E15885CE-699E-B3B5-610B-AA173173EEBF,580,D74A184E-FD0B-BFCF-805F-052C4DD6AD65,581,3
Credit card debt has Debtor via Credit card debt Debtor assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,A0083670-7A69-5B8D-44B3-0C5CA4F9FC50,3450,,Credit card debt,Credit card debt Debtor assignment,,,1,1,Y,N,Credit card debt,Y,E15885CE-699E-B3B5-610B-AA173173EEBF,580,5D2B58AB-9ACF-0DE8-4224-69C85E35F560,582,3
Credit facility Collateral assignment is protected by Protection item(s),DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,FDA0ABE6-7F31-2A9A-4A4E-A6B9489A251B,3451,,Credit facility,Credit facility Collateral assignment,,,*,1,Y,N,None,Y,FB69AB11-CA2F-CB73-8B7F-7D06ABB9DDE3,583,5E02F623-CC8D-9A20-AB10-A47E24CCF5C2,584,3
Credit facility gives rise to Instrument resulting from a Credit facility,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,7D808783-CCD3-EDAD-B7DB-6994FAB738BE,3452,,Credit facility,Instrument resulting from a Credit facility,,,*,1,Y,N,None,N,FB69AB11-CA2F-CB73-8B7F-7D06ABB9DDE3,583,047D9F8F-DE50-B427-58DB-627CA64E4F18,749,3
Credit facility has Credit facility risk data,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,8186BA83-E1D4-E0E1-ABD8-E2653D915779,3453,,Credit facility,Credit facility risk data,,,1,1,Y,N,Credit facility,Y,FB69AB11-CA2F-CB73-8B7F-7D06ABB9DDE3,583,536D9BE8-895C-32C3-C6AD-50ABD7478588,589,3
Credit facility has Creditor via Credit facility Creditor assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,CDE405AC-22EA-6D70-EADA-DB5CF921752A,3454,,Credit facility,Credit facility Creditor assignment,,,1,1,Y,N,Credit facility,Y,FB69AB11-CA2F-CB73-8B7F-7D06ABB9DDE3,583,1190B810-FE41-4FFA-574E-C114BC6E93EE,586,3
Credit facility has Debtor(s) via Credit facility Debtor assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,0F9C0D93-6188-BCC1-1E05-D7232E0312F9,3455,,Credit facility,Credit facility Debtor assignment,,,*,1,Y,N,None,Y,FB69AB11-CA2F-CB73-8B7F-7D06ABB9DDE3,583,50876A01-97CB-9B8D-5538-DC7CCABC188B,587,3
Credit facility has Servicer via Credit facility Servicer assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,97F5A1D5-A943-23B6-1B5D-E3A1EFBB33FB,3456,,Credit facility,Credit facility Servicer assignment,,,1,1,Y,N,Credit facility,Y,FB69AB11-CA2F-CB73-8B7F-7D06ABB9DDE3,583,425714B4-12A1-0F8F-8263-5DA886C908EF,591,3
Credit facility is Credit facility with interest rate,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,494A6447-EBB1-CAB7-FC87-8B8F4818815B,3457,,Credit facility,Credit facility with interest rate,,,1,1,Y,N,Credit facility,Y,FB69AB11-CA2F-CB73-8B7F-7D06ABB9DDE3,583,10E5A864-2FE8-8E4C-13A6-0C7ABB592427,592,3
Credit facility is protected by Collateral received instrument via Credit facility Collateral received instrument assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,C91AA0EB-6B53-2D42-15CF-6AD21580172A,3458,,Credit facility,Credit facility Collateral received instrument assignment,,,*,1,Y,N,None,Y,FB69AB11-CA2F-CB73-8B7F-7D06ABB9DDE3,583,3D3DF7D3-3E55-EC90-1D66-B8ACC991B4AD,585,3
Credit facility is provided for Traditional securitisation,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,492F4BB1-713F-DE67-9A81-46A914E14DDE,3459,,Credit facility,Traditional securitisation,,,1,1,Y,Y,Credit facility,N,FB69AB11-CA2F-CB73-8B7F-7D06ABB9DDE3,583,FA2C1C55-9919-EFA4-4644-24E333EEF6B4,1153,3
Credit facility risk data has Credit facility risk data derived data,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,2EAA9265-0445-855B-E900-FDCE2ABB8B5F,3460,,Credit facility risk data,Credit facility risk data derived data,,,1,1,Y,N,Credit facility risk data,Y,536D9BE8-895C-32C3-C6AD-50ABD7478588,589,ACF614FC-DE11-E7C1-0954-03D14F3003EB,590,3
Creditor is creditor of Credit facility Creditor assignment,DA75945B-3FE1-4CE1-31BE-32494C407F7E,508,94B3BA3A-25E3-139A-0AE1-E0A647E76028,3461,,Creditor,Credit facility Creditor assignment,,,*,1,Y,N,None,Y,D30824D1-0C3B-E54E-308D-941032A317C3,594,1190B810-FE41-4FFA-574E-C114BC6E93EE,586,4
