CELL_ID,AXIS_ORDINATE_ID
2739746_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739746_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_010
2739747_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739747_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_020
2739748_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739748_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_030
2739749_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739749_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_040
2739750_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739750_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_050
2739751_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739751_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_060
2739752_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739752_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_061
2739753_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739753_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_062
2739754_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739754_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_063
2739755_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739755_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_064
2739756_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739756_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_065
2739757_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739757_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_066
2739758_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739758_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_070
2739759_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739759_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_080
2739760_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739760_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_090
2739761_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739761_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_100
2739762_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739762_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_110
2739763_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739763_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_120
2739764_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739764_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_130
2739765_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739765_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_140
2739766_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739766_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_141
2739767_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739767_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_142
2739768_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739768_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_143
2739769_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739769_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_144
2739770_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739770_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_150
2739771_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739771_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_160
2739772_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739772_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_170
2739773_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739773_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_180
2739774_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739774_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_190
2739775_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739775_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_200
2739776_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739776_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_210
2739777_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2739777_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_220
2739778_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739778_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_010
2739779_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739779_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_020
2739780_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739780_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_030
2739781_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739781_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_040
2739782_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739782_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_050
2739783_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739783_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_060
2739784_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739784_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_070
2739785_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739785_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_080
2739786_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739786_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_090
2739787_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739787_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_100
2739788_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739788_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_110
2739789_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739789_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_120
2739790_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739790_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_130
2739791_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739791_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_140
2739792_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739792_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_150
2739793_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739793_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_160
2739794_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_010
2739794_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_170
